Week,Prospect_Number,First_Name,Last_Name,Title,Company,Industry,Company_Size,Website,LinkedIn_URL,Email,Phone,Connection_Type,ICP_Segment,Tech_Stack,Current_System,Outreach_Status,Call_Scheduled_Date,Call_Completed_Date,Call_Duration_Min,Call_Type,ICP_Score_Manual_Effort_1_10,ICP_Score_Compliance_1_10,ICP_Score_Performance_1_10,ICP_Score_Budget_1_10,ICP_Score_Timeline_1_10,ICP_Score_Tech_Fit_1_10,ICP_Score_Business_Impact_1_10,ICP_Score_Sponsor_1_10,Overall_ICP_Score_1_10,Qualification_Status,Key_Pain_Point,Annual_Manual_Effort_Hours,Annual_Manual_Effort_Cost,Compliance_Requirement,Decision_Timeline_Weeks,Budget_Status,Executive_Sponsor_Name,Executive_Sponsor_Title,Competitive_Alternative,Revenue_At_Risk,Revenue_At_Risk_Currency,ROI_Worksheet_Complete,POC_Proposal_Status,Technical_Deep_Dive_Scheduled,Next_Action,Next_Action_Date,Notes,Last_Updated
3,1,Sarah,Chen,VP Product Operations,Intercom,SaaS,500+,www.intercom.io,linkedin.com/in/sarahchen,sarah@intercom.io,(415)555-1234,Warm Intro - Advisor,Enterprise SaaS,GCP + Postgres,Manual + Scripts,Email sent,2/13/26,2/13/26,42,Discovery,8,9,6,8,9,8,8,9,8.25,Qualified,"3-5 FTE wasted on manual SKU changes, compliance audit flagged entitlement trail gap, wants faster pricing launches",3600,450000,SOC2,3,Pre-approved,Sarah Chen,VP Product Operations,Database triggers,50000,USD,Yes,Ready to send,Yes,Send POC proposal,2/21/26,"Strong fit - manual effort high, compliance pain, executive sponsor engaged, GCP native. ROI: 2.5x Y1",2/21/26
3,2,Michael,Rodriguez,Director Platform Engineering,Twilio,CPaaS,1000+,www.twilio.com,linkedin.com/in/mrodriguez,michael.r@twilio.com,(415)555-5678,Warm Intro - Investor,Cloud Platform,GCP + Pub/Sub,Database triggers,LinkedIn message sent,2/14/26,,0,Outreach pending,7,8,9,7,8,9,9,8,8.125,Pending,"Multi-tenant latency issues, revenue leakage from quota bugs, audit trail gaps",2400,300000,SOC2,4,Request needed,TBD,TBD,Custom system,500000,USD,No,Not started,No,Schedule call,2/16/26,"High-value prospect - CPaaS plays to our scale advantage. Need to reach by mid-week",2/14/26
3,3,Jennifer,Lee,Chief Compliance Officer,Revolut,Fintech,200+,www.revolut.com,linkedin.com/in/jlee,jennifer.lee@revolut.com,+44123456789,Cold outreach,Fintech,AWS + Lambda,Manual reconciliation,Email sent 2/11,2/16/26,35,Discovery,6,9,4,7,7,5,9,8,7.125,Good Fit,"Audit cycle takes 3-6 months, fee logic changes slow (2-4 weeks), regulatory compliance critical",4800,600000,GDPR + Fintech-regulated,6,Pre-approved,Jennifer Lee,CCO,Legacy system (internal),200000,USD,Yes,Drafting,No,Send customized ROI,2/19/26,"Compliance play. Good fit but GCP migration might be concern. Need to understand current infrastructure.",2/16/26
3,4,David,Park,VP Engineering,Stripe,SaaS,500+,www.stripe.com,linkedin.com/in/dpark,david.park@stripe.com,(415)555-9012,Advisor referral,Enterprise SaaS,Multi-cloud,Custom system,Email sent 2/10,2/12/26,38,Discovery,7,6,8,8,8,6,9,7,7.5,Good Fit,"Scaling payment tier logic complex, no cryptographic audit trail, time-to-market for new products (2-3 weeks currently)",5000,625000,PCI-DSS,4,Requesting,David Park,VP Eng,Spreadsheets + logic,300000,USD,Yes,Drafting,No,Technical deep-dive call,2/20/26,"Strong prospect. Multi-cloud a concern but they have GCP presence. Competitor evaluation in progress.",2/12/26
3,5,Amanda,Johnson,VP Product,Shopify,E-commerce Platform,1000+,www.shopify.com,linkedin.com/in/ajohnson,amanda.j@shopify.com,(647)555-0987,Warm intro pending,Enterprise SaaS,Multi-cloud,Database triggers,Intro request sent,Pending,0,Outreach pending,6,5,7,6,5,5,7,6,6,Pending,"Seller fee structure complex, limited audit trail for billing disputes, integration heavy",3000,375000,None,8,Not allocated,TBD,TBD,Legacy system,150000,USD,No,Not started,No,Wait for intro confirmation,2/17/26,"Lower urgency - multi-cloud, later budget cycle. Secondary priority for Week 4.",2/12/26
3,6,Robert,Thompson,VP Revenue Operations,Adyen,Fintech,300+,www.adyen.com,linkedin.com/in/rthompson,robert.t@adyen.com,+31201234567,Cold outreach,Fintech,AWS + Postgres,Manual + Scripts,Email sent 2/11,Pending,0,Outreach pending,8,8,6,7,6,4,8,7,6.875,Pending,"40+ hours/month on manual reconciliation, multiple compliance audit findings, revenue leakage from quota errors",6000,750000,PCI-DSS + Local,5,Pre-approved,Robert Thompson,VP RevOps,Database triggers,400000,USD,No,Not started,No,Send cold follow-up,2/18/26,"Great fit profile - high manual effort, compliance pain. GCP migration needed. High potential if we can address infra.",2/11/26
3,7,Lisa,Garcia,Director Product Operations,Notion,SaaS,200+,www.notion.com,linkedin.com/in/lgarcia,lisa.g@notion.com,(415)555-4321,Warm intro request,Enterprise SaaS,GCP + Postgres,Custom system,Intro request sent,Pending,0,Outreach pending,8,7,5,7,8,8,8,8,7.375,Pending,"Multiple tier products, manual rule management 30+ hrs/mo, auditors asked about pricing tier enforcement",3300,412500,SOC2,3,Pre-approved,Lisa Garcia,Director Prod Ops,Database triggers,100000,USD,No,Not started,No,Confirm intro call,2/15/26,"Excellent fit - GCP native, compliant, strong sponsor. High-priority for Week 4 calls.",2/12/26
3,8,James,Wilson,CTO,Auth0,SaaS,300+,www.auth0.com,linkedin.com/in/jwilson,james.w@auth0.com,(512)555-5555,Advisor referral,Cloud Platform,AWS + Lambda,Database triggers,Email sent 2/12,2/18/26,40,Discovery,7,6,8,8,6,4,8,7,6.875,Good Fit,"Auth tier enforcement at scale (100K+ tenants), latency SLA violations, no receipt ledger for compliance",4500,562500,SOC2,5,Requesting,James Wilson,CTO,Custom system,250000,USD,Yes,Drafting,No,Technical deep-dive scheduled,2/22/26,"Strong technical prospect. Multi-cloud is concern but can position GCP migration benefits. Long sales cycle expected.",2/18/26
3,9,Michelle,Brown,VP Product,Cloudinary,SaaS,400+,www.cloudinary.com,linkedin.com/in/mbrown,michelle.b@cloudinary.com,(212)555-6666,Cold outreach,Cloud Platform,AWS + GCP,Database triggers,Email sent 2/10,2/14/26,35,Discovery,6,5,7,6,5,6,7,5,5.875,Medium Fit,"Usage tier scaling challenges, no audit trail for billing compliance, time to new tier = 1 week (not bad)",2500,312500,SOC2,6,Not allocated,TBD,TBD,Custom system,80000,USD,No,Not started,No,Nurture - check back Q2,2/28/26,"Good prospect but lower urgency. Budget not allocated. Nurture for later cycles.",2/14/26
3,10,Thomas,Martinez,VP Finance,Wise,Fintech,500+,www.wise.com,linkedin.com/in/tmartinez,thomas.m@wise.com,+44207123456,Cold outreach,Fintech,GCP + Postgres,Manual reconciliation,Email sent 2/11,Pending,0,Outreach pending,8,9,5,8,7,8,9,9,8.125,Pending,"International fee rules manually managed, compliance audit 6 months/year, time to launch new market = 3-4 weeks",7000,875000,GDPR + FCA-regulated,4,Pre-approved,Thomas Martinez,VP Finance,Legacy system,500000,USD,No,Not started,No,Send follow-up,2/18/26,"Excellent fit - GCP native, very high compliance pain, strong sponsor. European time zone. High priority.",2/11/26
4,11,Patricia,Nguyen,SVP Product,Intercom,SaaS,500+,www.intercom.io,linkedin.com/in/pnguyen,patricia.n@intercom.io,(415)555-7777,Warm intro - Conf,Enterprise SaaS,GCP + Postgres,Database triggers,Call scheduled,2/20/26,Pending,0,Discovery pending,0,0,0,0,0,0,0,0,0,Outreach pending,"TBD - second contact at company, different perspective on tier management",0,0,No requirement,TBD,TBD,TBD,TBD,TBD,0,USD,No,Not started,No,Call discovery,2/20/26,"Follow-up conversation at Intercom with different stakeholder. May reveal enterprise-wide sponsorship.",2/20/26
4,12,Kevin,Singh,VP Product Operations,Slack,SaaS,1000+,www.slack.com,linkedin.com/in/ksingh,kevin.s@slack.com,(415)555-8888,Advisor referral,Enterprise SaaS,AWS + Multi,Custom system,Email sent 2/14,Pending,0,Outreach pending,6,5,6,5,4,4,6,5,5.25,Pending,"Tier management simplified but growing compliance requirements, AWS-focused not GCP",0,0,SOC2,8,Not allocated,TBD,TBD,Custom system,50000,USD,No,Not started,No,Nurture sequence,2/28/26,"Lower fit - AWS focused, later budget. Secondary list for expansion.",2/14/26
